Repository,Visibility,BranchCount,DefaultBranch,PrimaryLanguage,SizeKB,Created,LastUpdated,Description,HTTPS_URL,SSH_URL,TeamAccess
"onlinesales-ai/kam-service-api-qa","private","1","main","JavaScript","505","2025-01-22T07:05:11Z","2025-07-02T06:48:50Z","KAM Service QA Setup","https://github.com/onlinesales-ai/kam-service-api-qa","git@github.com:onlinesales-ai/kam-service-api-qa.git","osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/novu","public","175","next","N/A","208820","2025-02-03T10:02:59Z","2025-02-03T10:02:59Z","Open-Source Notification Platform. Embeddable Notification Center; E-mail; Push and Slack Integrations.","https://github.com/onlinesales-ai/novu","git@github.com:onlinesales-ai/novu.git","No team assigned"
"onlinesales-ai/hyperlocal-ui-qa","private","1","main","Java","3428","2025-02-04T06:22:33Z","2026-01-20T09:04:33Z","hyperlocal-ui-qa","https://github.com/onlinesales-ai/hyperlocal-ui-qa","git@github.com:onlinesales-ai/hyperlocal-ui-qa.git","ui(write); ui-admin(write); ui-write(write)"
"onlinesales-ai/localium-DA-Google-workspace","private","1","main","Jupyter Notebook","364","2025-02-06T12:17:14Z","2025-05-26T09:16:21Z","Repo for experiments performed by localium DAs","https://github.com/onlinesales-ai/localium-DA-Google-workspace","git@github.com:onlinesales-ai/localium-DA-Google-workspace.git","No team assigned"
"onlinesales-ai/osmos-icu-tokenizer","private","1","main","N/A","1684","2025-02-07T08:09:40Z","2025-02-10T12:49:33Z","","https://github.com/onlinesales-ai/osmos-icu-tokenizer","git@github.com:onlinesales-ai/osmos-icu-tokenizer.git","frigga-cloud(write); infra-admin(admin); osmos-client-delight-write(maintain)"
"onlinesales-ai/retailer-service-api-qa","private","1","main","JavaScript","144","2025-02-13T06:18:09Z","2025-07-02T05:32:59Z","Retailer Service API QA Setup","https://github.com/onlinesales-ai/retailer-service-api-qa","git@github.com:onlinesales-ai/retailer-service-api-qa.git","osmos-rms-admin(admin); osmos-rms-write(write)"
"onlinesales-ai/auth0Automation","private","1","main","Python","32188","2025-02-18T11:43:59Z","2025-06-11T05:35:33Z","","https://github.com/onlinesales-ai/auth0Automation","git@github.com:onlinesales-ai/auth0Automation.git","infra(read); infra-admin(read); infra-write(read)"
"onlinesales-ai/navigatorService","private","1","release_1.0","JavaScript","385","2025-02-19T08:57:44Z","2026-02-17T11:27:23Z","","https://github.com/onlinesales-ai/navigatorService","git@github.com:onlinesales-ai/navigatorService.git","frigga-cloud(write); instore-write(write); osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(write); osmos-data-write(write); osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/onboarding-service-api-qa","private","1","main","JavaScript","333","2025-02-26T06:52:00Z","2025-07-02T05:26:00Z","","https://github.com/onlinesales-ai/onboarding-service-api-qa","git@github.com:onlinesales-ai/onboarding-service-api-qa.git","osmos-rms-write(write)"
"onlinesales-ai/osmos-android-sdk","public","1","main","N/A","1","2025-02-27T11:07:59Z","2025-04-24T10:17:04Z","Android SDK for OSMOS","https://github.com/onlinesales-ai/osmos-android-sdk","git@github.com:onlinesales-ai/osmos-android-sdk.git","No team assigned"
"onlinesales-ai/osmos-ios-sdk","public","1","main","N/A","1","2025-02-27T11:15:20Z","2025-02-27T11:19:49Z","iOS SDK for OSMOS","https://github.com/onlinesales-ai/osmos-ios-sdk","git@github.com:onlinesales-ai/osmos-ios-sdk.git","No team assigned"
"onlinesales-ai/adServer-frigga","private","1","main","HCL","13","2025-03-07T09:19:43Z","2025-03-12T08:59:26Z","","https://github.com/onlinesales-ai/adServer-frigga","git@github.com:onlinesales-ai/adServer-frigga.git","frigga-cloud(maintain); infra-write(maintain)"
"onlinesales-ai/audit-service-api-qa","private","1","main","JavaScript","158","2025-03-11T06:59:46Z","2025-07-01T08:31:54Z","","https://github.com/onlinesales-ai/audit-service-api-qa","git@github.com:onlinesales-ai/audit-service-api-qa.git","osmos-rms-admin(admin); osmos-rms-write(write)"
"onlinesales-ai/adserver-setup-terraform","private","1","prerelease","HCL","208","2025-03-12T11:33:45Z","2025-09-09T10:05:09Z","","https://github.com/onlinesales-ai/adserver-setup-terraform","git@github.com:onlinesales-ai/adserver-setup-terraform.git","frigga-cloud(admin)"
"onlinesales-ai/comment-service-api-qa","private","1","main","JavaScript","200","2025-03-17T05:06:34Z","2025-07-01T08:30:17Z","","https://github.com/onlinesales-ai/comment-service-api-qa","git@github.com:onlinesales-ai/comment-service-api-qa.git","osmos-rms-write(write)"
"onlinesales-ai/os-terraform-vpc","private","1","main","HCL","71","2025-03-24T04:41:40Z","2025-06-23T20:39:15Z","","https://github.com/onlinesales-ai/os-terraform-vpc","git@github.com:onlinesales-ai/os-terraform-vpc.git","frigga-cloud(admin)"
"onlinesales-ai/keywordTargetingService-api-qa","private","1","main","JavaScript","641","2025-03-24T05:57:31Z","2025-07-02T12:23:24Z","","https://github.com/onlinesales-ai/keywordTargetingService-api-qa","git@github.com:onlinesales-ai/keywordTargetingService-api-qa.git","osmos-client-delight(write); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-rms-admin(admin); osmos-rms-write(write)"
"onlinesales-ai/hadesV2","private","1","release","JavaScript","326","2025-03-30T20:44:20Z","2026-02-11T07:10:45Z","","https://github.com/onlinesales-ai/hadesV2","git@github.com:onlinesales-ai/hadesV2.git","frigga-cloud(write); infra(read); infra-admin(read); infra-write(read)"
"onlinesales-ai/ticketManagementService-api-qa","private","1","main","JavaScript","377","2025-04-02T10:00:20Z","2025-07-01T07:59:05Z","","https://github.com/onlinesales-ai/ticketManagementService-api-qa","git@github.com:onlinesales-ai/ticketManagementService-api-qa.git","No team assigned"
"onlinesales-ai/claude-utility","private","1","main","Python","2","2025-04-04T09:47:02Z","2025-04-09T03:44:23Z","claude-utility","https://github.com/onlinesales-ai/claude-utility","git@github.com:onlinesales-ai/claude-utility.git","dev(read)"
"onlinesales-ai/hyperlocal_performance_repo","private","1","main","N/A","0","2025-04-11T12:56:57Z","2025-04-11T12:56:57Z","hyperlocal_performance_repo","https://github.com/onlinesales-ai/hyperlocal_performance_repo","git@github.com:onlinesales-ai/hyperlocal_performance_repo.git","No team assigned"
"onlinesales-ai/ArgoCD-Adserver","private","1","main","Smarty","153","2025-04-16T09:25:52Z","2025-08-02T21:57:44Z","","https://github.com/onlinesales-ai/ArgoCD-Adserver","git@github.com:onlinesales-ai/ArgoCD-Adserver.git","frigga-cloud(admin)"
"onlinesales-ai/instoreService","private","1","release","JavaScript","3156","2025-04-16T09:35:51Z","2026-02-17T10:02:01Z","","https://github.com/onlinesales-ai/instoreService","git@github.com:onlinesales-ai/instoreService.git","frigga-cloud(write); infra-admin(admin); instore(read); instore-admin(admin); instore-write(write); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/creativeUploadService-api-qa","private","1","main","JavaScript","1935","2025-04-17T09:44:52Z","2025-07-01T10:19:43Z","","https://github.com/onlinesales-ai/creativeUploadService-api-qa","git@github.com:onlinesales-ai/creativeUploadService-api-qa.git","No team assigned"
"onlinesales-ai/gen-ai-gcp","private","1","main","JavaScript","8","2025-04-24T06:25:19Z","2025-05-05T07:43:56Z","","https://github.com/onlinesales-ai/gen-ai-gcp","git@github.com:onlinesales-ai/gen-ai-gcp.git","No team assigned"
"onlinesales-ai/os-bullmq","private","1","release_1.0","Lua","82","2025-04-28T09:21:46Z","2025-04-28T17:04:50Z","","https://github.com/onlinesales-ai/os-bullmq","git@github.com:onlinesales-ai/os-bullmq.git","osmos-rms-write(write)"
"onlinesales-ai/ui-domain-configs","private","1","main","JavaScript","797","2025-05-06T11:56:55Z","2026-02-23T18:28:52Z","","https://github.com/onlinesales-ai/ui-domain-configs","git@github.com:onlinesales-ai/ui-domain-configs.git","ui(read); ui-admin(admin); ui-write(read)"
"onlinesales-ai/osPackageLauncher","private","1","release_1.0","Python","129","2025-05-07T11:17:36Z","2025-12-09T06:01:03Z","","https://github.com/onlinesales-ai/osPackageLauncher","git@github.com:onlinesales-ai/osPackageLauncher.git","frigga-cloud(write); infra-write(maintain); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(maintain); osmos-rms(write); osmos-rms-admin(write); osmos-rms-interns(write); osmos-rms-ui-write(write); osmos-rms-write(write)"
"onlinesales-ai/oncall_manager_ui","public","1","main","TypeScript","1906","2025-05-08T14:50:57Z","2025-12-31T10:38:02Z","","https://github.com/onlinesales-ai/oncall_manager_ui","git@github.com:onlinesales-ai/oncall_manager_ui.git","No team assigned"
"onlinesales-ai/OSMOS-DA-repo","private","1","main","Jupyter Notebook","183","2025-05-09T13:19:02Z","2025-06-03T09:00:00Z","","https://github.com/onlinesales-ai/OSMOS-DA-repo","git@github.com:onlinesales-ai/OSMOS-DA-repo.git","No team assigned"
"onlinesales-ai/frigga-engageService","private","1","health-check-working","JavaScript","1761","2025-05-12T05:56:52Z","2025-09-15T06:02:38Z","","https://github.com/onlinesales-ai/frigga-engageService","git@github.com:onlinesales-ai/frigga-engageService.git","frigga-cloud(admin)"
"onlinesales-ai/catalogSyncService","private","1","mainline","JavaScript","831","2025-05-22T06:27:55Z","2026-01-07T09:14:11Z","","https://github.com/onlinesales-ai/catalogSyncService","git@github.com:onlinesales-ai/catalogSyncService.git","dev(read); dev-external-contractors(read); frigga-cloud(write); osmos-client-delight-admin(admin); osmos-client-delight-write(maintain); osmos-rms(write); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(write); osmos-rms-write(write)"
"onlinesales-ai/campaignUserActionConsumer","private","1","mainline","Python","91100","2025-05-23T16:22:31Z","2025-07-24T09:21:04Z","","https://github.com/onlinesales-ai/campaignUserActionConsumer","git@github.com:onlinesales-ai/campaignUserActionConsumer.git","dev(read); osmos-client-delight-write(maintain); osmos-media-admin(admin); osmos-media-write(write)"
"onlinesales-ai/android-os-sdk","private","1","main","Kotlin","1748","2025-05-26T08:12:06Z","2025-12-03T13:28:22Z","","https://github.com/onlinesales-ai/android-os-sdk","git@github.com:onlinesales-ai/android-os-sdk.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
"onlinesales-ai/ios-os-sdk","private","1","main","Swift","11676","2025-05-26T08:15:31Z","2025-09-11T05:15:34Z","","https://github.com/onlinesales-ai/ios-os-sdk","git@github.com:onlinesales-ai/ios-os-sdk.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
"onlinesales-ai/localium-DA-workspace","private","1","staging","Jupyter Notebook","42","2025-05-26T09:18:54Z","2025-07-25T07:02:25Z","","https://github.com/onlinesales-ai/localium-DA-workspace","git@github.com:onlinesales-ai/localium-DA-workspace.git","hyperlocal-performance(write); hyperlocal-performance-da(write)"
"onlinesales-ai/iab-url-verification","private","1","main","TypeScript","247","2025-05-28T05:14:03Z","2025-07-29T11:28:46Z","","https://github.com/onlinesales-ai/iab-url-verification","git@github.com:onlinesales-ai/iab-url-verification.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocalForecastingModelTrainingFlow","private","1","main","Python","43","2025-05-28T12:45:08Z","2025-07-11T04:13:50Z","Script for Forecasting model training flow","https://github.com/onlinesales-ai/hyperlocalForecastingModelTrainingFlow","git@github.com:onlinesales-ai/hyperlocalForecastingModelTrainingFlow.git","frigga-cloud(write); hyperlocal(read); hyperlocal-admin(read); hyperlocal-write(write)"
"onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator","private","1","main","Python","26","2025-05-28T12:51:20Z","2025-07-11T04:10:31Z","Hyperlocal confidence score populatation script","https://github.com/onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator","git@github.com:onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator.git","frigga-cloud(write); hyperlocal(read); hyperlocal-admin(read); hyperlocal-write(write)"
"onlinesales-ai/osAdsTargetingProcessorApp","private","1","main","Python","74","2025-06-02T09:33:17Z","2025-12-05T16:47:57Z","","https://github.com/onlinesales-ai/osAdsTargetingProcessorApp","git@github.com:onlinesales-ai/osAdsTargetingProcessorApp.git","frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(write); osmos-media-admin(write); osmos-media-write(write)"
"onlinesales-ai/osFileStreamProcessorApp","private","1","main","Python","114","2025-06-02T10:14:46Z","2026-02-16T06:17:14Z","","https://github.com/onlinesales-ai/osFileStreamProcessorApp","git@github.com:onlinesales-ai/osFileStreamProcessorApp.git","cw-python(write); dev(read); frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(admin); osmos-media-write(maintain); osmos-performance(read); osmos-performance-admin(admin); osmos-performance-write(maintain); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(maintain)"
"onlinesales-ai/osAdsAudienceRedisPusherApp","private","1","main","Python","52","2025-06-02T10:22:55Z","2025-10-23T13:57:21Z","","https://github.com/onlinesales-ai/osAdsAudienceRedisPusherApp","git@github.com:onlinesales-ai/osAdsAudienceRedisPusherApp.git","dev(read); frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(write); osmos-media-admin(write); osmos-media-write(write)"
"onlinesales-ai/workflowEngine","private","1","mainline","N/A","793","2025-06-03T12:59:37Z","2025-06-03T12:59:40Z","","https://github.com/onlinesales-ai/workflowEngine","git@github.com:onlinesales-ai/workflowEngine.git","osmos-client-delight(maintain); osmos-client-delight-admin(maintain); osmos-client-delight-write(maintain)"
"onlinesales-ai/android-osmos-sdk-source","private","1","main","Kotlin","328","2025-06-09T08:52:44Z","2025-08-05T09:41:02Z","","https://github.com/onlinesales-ai/android-osmos-sdk-source","git@github.com:onlinesales-ai/android-osmos-sdk-source.git","dev(read); osmos-client-delight-write(maintain); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
"onlinesales-ai/ios-osmos-sdk-source","private","1","main","Swift","2445","2025-06-09T09:04:16Z","2025-07-15T11:45:27Z","","https://github.com/onlinesales-ai/ios-osmos-sdk-source","git@github.com:onlinesales-ai/ios-osmos-sdk-source.git","dev(read); osmos-client-delight-write(maintain); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
"onlinesales-ai/web-osmos-sdk-source","private","1","main","JavaScript","833","2025-06-09T11:26:47Z","2025-06-30T11:06:17Z","","https://github.com/onlinesales-ai/web-osmos-sdk-source","git@github.com:onlinesales-ai/web-osmos-sdk-source.git","osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
"onlinesales-ai/osmos-web-sdk-playground","private","1","main","TypeScript","347","2025-06-09T14:23:17Z","2025-09-04T12:26:10Z","","https://github.com/onlinesales-ai/osmos-web-sdk-playground","git@github.com:onlinesales-ai/osmos-web-sdk-playground.git","osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/osmos-mcp-server-v0","private","1","main","Python","21","2025-06-10T11:58:01Z","2025-06-10T12:00:18Z","","https://github.com/onlinesales-ai/osmos-mcp-server-v0","git@github.com:onlinesales-ai/osmos-mcp-server-v0.git","No team assigned"
"onlinesales-ai/public-documents-readme","private","1","v1.0","HTML","1672","2025-06-10T15:09:49Z","2026-02-06T09:01:49Z","","https://github.com/onlinesales-ai/public-documents-readme","git@github.com:onlinesales-ai/public-documents-readme.git","No team assigned"
"onlinesales-ai/third_party","private","1","main","Java","273999","2025-06-12T13:13:58Z","2025-06-20T08:15:51Z","OSX Java third part jars ","https://github.com/onlinesales-ai/third_party","git@github.com:onlinesales-ai/third_party.git","frigga-cloud(admin)"
"onlinesales-ai/os-adserver-setup-terraform","private","1","prerelease","HCL","206","2025-06-13T04:44:34Z","2025-06-16T09:52:18Z","","https://github.com/onlinesales-ai/os-adserver-setup-terraform","git@github.com:onlinesales-ai/os-adserver-setup-terraform.git","No team assigned"
"onlinesales-ai/os-vpc-setup-terraform","private","1","main","HCL","63","2025-06-13T05:32:20Z","2025-06-13T10:48:13Z","","https://github.com/onlinesales-ai/os-vpc-setup-terraform","git@github.com:onlinesales-ai/os-vpc-setup-terraform.git","No team assigned"
"onlinesales-ai/sofie-keyword-suggestions-shared-util","private","1","release","Python","438","2025-06-13T07:11:47Z","2025-12-09T05:42:30Z","","https://github.com/onlinesales-ai/sofie-keyword-suggestions-shared-util","git@github.com:onlinesales-ai/sofie-keyword-suggestions-shared-util.git","osmos-performance(write); osmos-performance-admin(write); osmos-performance-write(write)"
"onlinesales-ai/dashboard","private","1","mainline","JavaScript","252","2025-06-13T18:07:23Z","2025-06-14T10:29:08Z","","https://github.com/onlinesales-ai/dashboard","git@github.com:onlinesales-ai/dashboard.git","No team assigned"
"onlinesales-ai/osmos-perf-irrelevancy-identification","private","1","cloud_release_1.0","Python","5183","2025-06-16T05:55:06Z","2025-06-18T05:00:54Z","OPC irrelevancies","https://github.com/onlinesales-ai/osmos-perf-irrelevancy-identification","git@github.com:onlinesales-ai/osmos-perf-irrelevancy-identification.git","osmos-performance(write); osmos-performance-admin(write); osmos-performance-write(write)"
"onlinesales-ai/os-pay-pal-vpc-setup-terraform","private","1","main","HCL","37","2025-06-16T09:43:59Z","2025-06-18T07:05:43Z","","https://github.com/onlinesales-ai/os-pay-pal-vpc-setup-terraform","git@github.com:onlinesales-ai/os-pay-pal-vpc-setup-terraform.git","frigga-cloud(admin)"
"onlinesales-ai/os-pay-pal-ad-server-setup-terraform","private","1","prerelease","HCL","50","2025-06-16T09:46:30Z","2025-06-18T06:28:31Z","","https://github.com/onlinesales-ai/os-pay-pal-ad-server-setup-terraform","git@github.com:onlinesales-ai/os-pay-pal-ad-server-setup-terraform.git","frigga-cloud(admin)"
"onlinesales-ai/nexusConsumer","private","1","main","JavaScript","236","2025-06-17T11:41:17Z","2025-06-18T05:46:24Z","NexusConsumer will be used for consuming events created from nexusService usually for pausing Campaigns; keywords; etc.","https://github.com/onlinesales-ai/nexusConsumer","git@github.com:onlinesales-ai/nexusConsumer.git","No team assigned"
"onlinesales-ai/osmos-web-sdk","private","1","main","JavaScript","5847","2025-06-17T14:38:48Z","2026-01-27T10:04:15Z","","https://github.com/onlinesales-ai/osmos-web-sdk","git@github.com:onlinesales-ai/osmos-web-sdk.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/lmsCrmSyncApp","private","1","release","Python","249","2025-06-18T06:41:34Z","2026-02-20T12:18:49Z","","https://github.com/onlinesales-ai/lmsCrmSyncApp","git@github.com:onlinesales-ai/lmsCrmSyncApp.git","dev(admin); frigga-cloud(write); hyperlocal(admin); hyperlocal-admin(admin); hyperlocal-write(admin)"
"onlinesales-ai/localium-DA-Meta-workspace","private","1","main","N/A","10","2025-06-19T06:15:28Z","2025-06-19T06:18:20Z","localium-DA-Meta-workspace","https://github.com/onlinesales-ai/localium-DA-Meta-workspace","git@github.com:onlinesales-ai/localium-DA-Meta-workspace.git","hyperlocal-performance-da(write)"
"onlinesales-ai/schedulerService","private","1","mainline_kubernetes","Java","9181","2025-06-20T06:47:38Z","2025-06-30T05:08:45Z","","https://github.com/onlinesales-ai/schedulerService","git@github.com:onlinesales-ai/schedulerService.git","frigga-cloud(admin)"
"onlinesales-ai/devops","private","1","main","Dockerfile","4","2025-06-22T18:40:01Z","2025-06-22T19:31:29Z","","https://github.com/onlinesales-ai/devops","git@github.com:onlinesales-ai/devops.git","No team assigned"
"onlinesales-ai/adserver-deployment-monitoring","private","1","add-monitoring-script","Python","968","2025-06-22T20:55:55Z","2025-09-09T07:35:16Z","","https://github.com/onlinesales-ai/adserver-deployment-monitoring","git@github.com:onlinesales-ai/adserver-deployment-monitoring.git","dev(read); osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(read); osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-performance(write); osmos-performance-admin(write); osmos-performance-write(write); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/demo-java-app","private","1","main","Java","33","2025-06-23T06:20:05Z","2025-06-25T08:38:32Z","","https://github.com/onlinesales-ai/demo-java-app","git@github.com:onlinesales-ai/demo-java-app.git","frigga-cloud(admin)"
"onlinesales-ai/schedulerSvcObjects","private","1","main","Java","10629","2025-06-23T06:36:02Z","2025-06-23T06:36:12Z","","https://github.com/onlinesales-ai/schedulerSvcObjects","git@github.com:onlinesales-ai/schedulerSvcObjects.git","frigga-cloud(admin)"
"onlinesales-ai/osmos-ios-sdk-spm","public","2","main","Ruby","14","2025-06-23T08:36:53Z","2025-12-04T06:12:33Z","","https://github.com/onlinesales-ai/osmos-ios-sdk-spm","git@github.com:onlinesales-ai/osmos-ios-sdk-spm.git","No team assigned"
"onlinesales-ai/reusable-workflows","private","1","main","N/A","235","2025-06-25T08:12:05Z","2026-02-19T07:29:20Z","","https://github.com/onlinesales-ai/reusable-workflows","git@github.com:onlinesales-ai/reusable-workflows.git","frigga-cloud(admin); infra-admin(admin)"
"onlinesales-ai/impressionsCloudFunction","private","1","main","Python","20","2025-06-25T09:49:03Z","2025-10-08T06:01:45Z","","https://github.com/onlinesales-ai/impressionsCloudFunction","git@github.com:onlinesales-ai/impressionsCloudFunction.git","No team assigned"
"onlinesales-ai/impressionSummaryCloudFunction","private","1","main","N/A","0","2025-06-25T14:00:59Z","2025-06-25T14:00:59Z","","https://github.com/onlinesales-ai/impressionSummaryCloudFunction","git@github.com:onlinesales-ai/impressionSummaryCloudFunction.git","No team assigned"
"onlinesales-ai/dblib","private","1","mainline_7.0","Java","287","2025-06-27T12:07:30Z","2025-06-27T12:31:33Z","Database library for shared components","https://github.com/onlinesales-ai/dblib","git@github.com:onlinesales-ai/dblib.git","frigga-cloud(admin)"
"onlinesales-ai/restCommunicator","private","1","release_4.0","Java","3687","2025-06-27T12:07:34Z","2025-06-27T12:31:37Z","REST communication library for shared components","https://github.com/onlinesales-ai/restCommunicator","git@github.com:onlinesales-ai/restCommunicator.git","frigga-cloud(admin)"
"onlinesales-ai/restAccessor","private","1","release_1.0","Java","1644","2025-06-27T12:07:38Z","2025-06-27T12:31:51Z","REST accessor library for shared components","https://github.com/onlinesales-ai/restAccessor","git@github.com:onlinesales-ai/restAccessor.git","frigga-cloud(admin)"
"onlinesales-ai/restObjects","private","1","release_1.0","Java","3645","2025-06-27T12:07:41Z","2025-06-27T12:32:00Z","REST objects library for shared components","https://github.com/onlinesales-ai/restObjects","git@github.com:onlinesales-ai/restObjects.git","frigga-cloud(admin)"
"onlinesales-ai/scheduler-shared-dbaccess","private","1","mainline_kubernetes","Java","18212","2025-06-27T12:07:58Z","2025-06-27T12:29:48Z","Scheduler shared database access library","https://github.com/onlinesales-ai/scheduler-shared-dbaccess","git@github.com:onlinesales-ai/scheduler-shared-dbaccess.git","frigga-cloud(admin)"
"onlinesales-ai/schedulerLib4j","private","1","mainline_kubernetes","Java","5809","2025-06-27T12:08:03Z","2025-06-27T12:30:14Z","Scheduler library for Java components","https://github.com/onlinesales-ai/schedulerLib4j","git@github.com:onlinesales-ai/schedulerLib4j.git","frigga-cloud(admin)"
"onlinesales-ai/logger","private","1","release_1.1","Java","5","2025-06-27T12:08:08Z","2025-06-27T12:32:41Z","Logging library for shared components","https://github.com/onlinesales-ai/logger","git@github.com:onlinesales-ai/logger.git","frigga-cloud(admin)"
"onlinesales-ai/httpRequest","private","1","release_1.0","Java","519","2025-06-27T12:08:12Z","2025-06-27T12:32:46Z","HTTP request library for shared components","https://github.com/onlinesales-ai/httpRequest","git@github.com:onlinesales-ai/httpRequest.git","frigga-cloud(admin)"
"onlinesales-ai/datasync-shared-config","private","1","release_1.0","Java","14","2025-06-27T12:08:16Z","2025-06-27T12:34:58Z","Data synchronization shared configuration library","https://github.com/onlinesales-ai/datasync-shared-config","git@github.com:onlinesales-ai/datasync-shared-config.git","frigga-cloud(admin)"
"onlinesales-ai/UUIDGenerator","private","1","release_1.0","Java","290","2025-06-27T12:08:32Z","2025-06-27T12:32:59Z","UUID generator utility library for shared components","https://github.com/onlinesales-ai/UUIDGenerator","git@github.com:onlinesales-ai/UUIDGenerator.git","frigga-cloud(admin)"
"onlinesales-ai/hadesObjects","private","1","release_3.0","Java","6736","2025-06-27T12:08:40Z","2025-06-27T12:33:17Z","Hades objects infrastructure library","https://github.com/onlinesales-ai/hadesObjects","git@github.com:onlinesales-ai/hadesObjects.git","frigga-cloud(admin)"
"onlinesales-ai/statsLogger","private","1","release_1.0","Java","7430","2025-06-27T12:08:43Z","2025-06-27T12:34:16Z","Statistics logging library for shared components","https://github.com/onlinesales-ai/statsLogger","git@github.com:onlinesales-ai/statsLogger.git","frigga-cloud(admin)"
"onlinesales-ai/statsLoggingClient","private","1","release_1.0","Java","7422","2025-06-27T12:08:47Z","2025-06-27T12:34:22Z","Statistics logging client library for shared components","https://github.com/onlinesales-ai/statsLoggingClient","git@github.com:onlinesales-ai/statsLoggingClient.git","frigga-cloud(admin)"
"onlinesales-ai/sokratiCache","private","1","release_1.0","Java","29","2025-06-27T12:08:51Z","2025-06-27T12:34:36Z","Sokrati cache library for shared components","https://github.com/onlinesales-ai/sokratiCache","git@github.com:onlinesales-ai/sokratiCache.git","frigga-cloud(admin)"
"onlinesales-ai/cacheLib","private","1","release_1.0","Java","381","2025-06-27T12:09:04Z","2025-06-27T12:34:41Z","Cache library for shared components","https://github.com/onlinesales-ai/cacheLib","git@github.com:onlinesales-ai/cacheLib.git","frigga-cloud(admin)"
"onlinesales-ai/OS-Debezium","private","1","mainline","Python","405","2025-06-28T19:04:49Z","2025-12-05T11:15:37Z","","https://github.com/onlinesales-ai/OS-Debezium","git@github.com:onlinesales-ai/OS-Debezium.git","infra-admin(admin); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/reposilite-k8s","private","1","main","Shell","11","2025-07-02T05:56:38Z","2025-07-02T07:30:11Z","","https://github.com/onlinesales-ai/reposilite-k8s","git@github.com:onlinesales-ai/reposilite-k8s.git","frigga-cloud(admin)"
"onlinesales-ai/gcp-infrastructure","private","1","main","N/A","0","2025-07-02T12:10:59Z","2025-07-02T12:10:59Z","GCP Infrastructure as Code for OnlineSales.ai using Terraform - manages GKE clusters; Cloud Functions; HTTP routing; and monitoring systems","https://github.com/onlinesales-ai/gcp-infrastructure","git@github.com:onlinesales-ai/gcp-infrastructure.git","No team assigned"
"onlinesales-ai/gcp-infra","private","1","main","HCL","65","2025-07-02T12:29:24Z","2025-07-02T12:39:00Z","","https://github.com/onlinesales-ai/gcp-infra","git@github.com:onlinesales-ai/gcp-infra.git","frigga-cloud(admin); infra-admin(admin)"
"onlinesales-ai/demo-mobile-apps","private","1","main","Swift","15","2025-07-03T12:59:24Z","2025-07-03T13:42:12Z","","https://github.com/onlinesales-ai/demo-mobile-apps","git@github.com:onlinesales-ai/demo-mobile-apps.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-sdk(read); osmos-sdk-admin(admin); osmos-sdk-write(write)"
